Material Exchange Platform (MEP),Host,Website,Platform type,Exchange type,Material exchanged,,Need to create an account?,Cost to use the platform,Exchange logistics,Can waiting requests be made for specific materials?,Cost of materials known?,Provenance known?,Quantity known?,Quality known?,Location,Address Line 1,Address Line 2,Address Line 3,Town,Postcode,County,Country,Colour,,,,,,,,,,,,,,,,,,,,,,,,
Raised Modular Flooring Installation & Services Ltd,RMF Installation & Services Ltd,https://www.rmf-services.co.uk/,Shop,Buy and sell,Raised access flooring,,No,Free,Private arrangement to pick up or deliver once the material exchange is confirmed,Yes,Cost depends on donation and purchase amounts and type,Don't know,Don't know,Don't know,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Collecteco Reuse,Collecteco Reuse,https://www.collecteco.co.uk/,Online listings,Donate to MEP and MEP then donates UK-wide,Office furniture and equipment,,Yes,Free,Private arrangement to pick up or deliver once the material exchange is confirmed,Yes,NA,Often yes,Yes,Yes,UK,,,,,,,,Pink,,,,,,,,,,,,,,,,,,,,,,,,
Paint360,Paint360,https://www.paint360.co.uk/,Shop,Buy and sell,Paint,,Yes,Pay to donate and buy,Private arrangement to pick up or deliver. Only large volumes (1000+ cans) can be donated at a time.,NA,Cost depends on donation and purchase amounts and type,NA,Yes,Yes,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Rype,Rype Office,https://www.rypeoffice.com/,Shop,Buy and procure office design services,Office furniture,,No,NA,Service arrangement,Yes,Cost depends on donation and purchase amounts and type,Don't know,Yes,Yes,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Greenstream Flooring,,https://www.findcarpettiles.co.uk/,Social Enterprise,Buy and sell,Flooring,,Yes,Unsure,Unsure,Don't know,Don't know,Don't know,Yes,Yes,UK,Unit 3,Rheola Industrial Estate,Rhondda Cynon Taff,Porth,CF39 0AD,,Wales,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Globechain the ESG reuse marketplace,,https://globechain.com/,Online listings,Marketplace,All products skills and services including construction materials,,Yes,Free to request and take items but charge to list items,Private arrangement to pick up or deliver once the material exchange is confirmed,Yes,No,No,Yes,Yes,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Eurocell Recycle,Eurocell,https://www.eurocell.co.uk/eurocell-recycle,Shop,Buy and sell,PVCu,,Unsure,Unsure,Private arrangement to pick up or deliver once the material exchange is confirmed,Don't know,Don't know,Don't know,Don't know,Don't know,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Zero Waste Box,Terracycle,https://zerowasteboxes.terracycle.co.uk/,Shop,Buy,Various products and materials,,No,Varies depending on box,Buy box and return using prepaid label,NA,NA,NA,NA,NA,UK,,,,,,,,Green,,,,,,,,,,,,,,,,,,,,,,,,
ReWorked,,https://www.reworked.com/,Shop,Buy and sell,Various products and materials,,Yes,Free,Buy recycling box and return or buy recycled materials from store for delivery,NA,Yes,No,NA,Yes,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
TRACOuk,,https://recycledassets.co.uk/,Online listings,Buy and sell,Office furniture equipment and white goods,,No,Free,Private arrangement to pick up or deliver once the material exchange is confirmed,Yes,No,No,Yes,Yes,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,Red
The Pallet Loop, The Pallet Loop, https://www.thepalletloop.com/, Pallet Collection Service, Pallet Collection Service, Wooden Pallets,, Yes, Yes, Private arrangement to pick up or deliver once the material exchange is confirmed, No, Charge for collection only with credit paid for Loop pallets, No, No, No, UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Remake Scotland, ReusefulUK, https://remakescotland.co.uk/business.html, Enterprise and shop, Donate to MEP, Business waste,, No, No, Contact for more information, NA, NA, NA, NA, NA, Highlands and Islands, Unit 2, Crieff Visitor Centre, Muhill Road, Crieff, PH7 4HQ, Highlands and Islands, Scotland, Pink,,,,,,,,,,,,,,,,,,,,,,,,
Sustainability Yard,, https://sustainabilityyard.com/, Online listings, Marketplace, All construction materials,,Yes - app based, No, Private arrangement to pick up or deliver once the material exchange is confirmed, Dont know, Yes, Dont know, Yes, Yes, UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Excess Materials Exchange, Enfield Council,https://app.excessmaterialsexchange.com/mqUFWBvNwawg/7dlcKxtDyliQ/view/e93a78b6-b5e4-4921-a86c-e9d8216636ee, Online listings, Buy and sell through the MEP, All construction materials,, Yes, No, Private arrangement to pick up or deliver once the material exchange is confirmed, Yes, Yes, Yes, Yes, Yes, London Borough of Enfield,,,,,,,, Red,,,,,,,,,,,,,,,,,,,,,,,,
Salvo,,https://www.salvoweb.com/salvo-directory, Directory, Depends on organisation used, All products skills and services,, No, No, Depends on organisation used, Dont know, Dont know, Dont know, Dont know, Dont know, UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
SCRAP Antic, ReusefulUK, https://www.scrapantics.co.uk/donate, Enterprise and shop, Donate to MEP, Fabrics hardware and art materials,,No, No, Contact for more information, NA,NA,NA,NA,NA,Dundee, Unit 2, Meadow Hill, West Henderson, Wynd, DD1 5BY, Dundee, Scotland,Pink,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow Play Resource, ReusefulUK, https://www.glasgowplay.org.uk/, Enterprise and shop, Donate to MEP, Business waste,, No, No, Contact for more information,NA,NA,NA,NA,NA,Musselburgh, 30 South Street, Musselburgh, East of Scotland,,EH21 6A5,East Lothian, Scotland,Pink,,,,,,,,,,,,,,,,,,,,,,,,
SAMS Scrapstore,ReusefulUK,https://cbpartners.org/community/, Enterprise shop and online listings, Donate to MEP and buy from MEP, Business waste and arts and crafts,, Yes,Yes, Contact for more information,Dont know,Some,No, Some,Some,Blackburn,Energy Zone,Newfield Drive,,Blackburn,BB2 3UA,Lancashire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Bradford Community Repaint,ReusefulUK,https://bradford-organics-communities-service-ltd.org.uk/bradford-community-repaint-html/,Enterprise and shop, Donate to MEP and buy from MEP,Paint,,No,No,Contact for more information or visit store,Dont know,Yes,Some,Yes,Yes,Bradford,Carlisle Business Centre,Anderson Street,Manningham,Bradford,BD8 8BD,West Yorkshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Scrap,ReusefulUK,https://scrapstuff.co.uk/, Enterprise shop and online listings,Donate to MEP and buy from MEP,Business waste and arts and crafts,,Yes,Yes,Contact for more information,Dont know,Some,No,Some,Some,Leeds,10 The Spinning Mill,Sunnybank Mills,Farsley,Leeds,LS28 5UJ,West Yorshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Hull ScrapStore,ReusefulUK,https://scrapstorehull.co.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Arts and crafts,,No,No,Visit store,Dont know,No,No,No,No,Hull,The Former Somerset St. School,Dairycoates Avenue,,Hull,HU3 5DB,Yorkshire and the Humber,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Refurnish,ReusefulUK,https://refurnish.co.uk/,Enterprise and shop and collection service,Donate to MEP and buy from MEP,Furniture,,No,No,Contact for more information or visit store,Dont know,No,No,No,No, Rotherham,Westmoor Lane,Wath-Upon-Dearne,,,S63 6DF,Yorkshire and the Humber,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Scrap Shack & Community RePaint North Staffordshire,ReusefulUK,https://communityscrapshack.chessck.co.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste and arts and crafts,,No but can buy a membership for discount,No,Contact for more information or visit store,Dont know,Some,No,No,No,Stoke-on-Trent,Unit 2,7 China Street,Fenton,Stoke-on-Trent,ST4 3NJ,Stafforshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Play and Recycling Centre,ReusefulUK,https://derbyplayandrecyclingcentre.org/scrap-store,Enterprise and shop,Donate to MEP and buy from MEP,Arts and craft and mixed materials,,Yes - membership required,Yes,Contact for more information,Dont know,No,No,No,No,Derby,6-10 Werburgh Street,,,Derby,DE22 3QG,Derbyshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Gedling Play Forum,ReusefulUK,http://gedlingplayforum.org/,Enterprise and shop,Donate to MEP buy from MEP and MEP donates,Business waste,,Yes - membership required,Yes,Contact for more information,Dont know,No,No,No,No,Nottingham,Wollaton Avenue Community Centre,Gedling,,Nottingham,NG4 4HX,Nottinghamshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Scrappies,ReusefulUK,https://www.scrappies.org/,Enterprise and shop,Donate to MEP and buy from MEP,Arts and crafts,,No but can buy a membership for discount,No,Contact for more information,Dont know,No,No,No,No,Shropshire,1 Sherratt Court,Beaumont Road,Church Stretton,Shropshire,SY6 6BN,Shropshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
The Scrapstore Birmingham,ReusefulUK,https://www.bpcn.org.uk/scrapstore/,Enterprise and shop,Donate to MEP buy from MEP and MEP collects,Business waste and individual waste,,No,No,Contact to donate,Dont know,No,No,No,No,Birmingham,The Hollymoor Centre,,Northfield,Birmingham,B31 5ER,West Midlands,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Mini-Scrapbox,ReusefulUK,https://aylshamchurchbenefice.churchdesk.com/scrapbox,Enterprise and shop,Donate to MEP and buy from MEP,Arts and crafts,,Yes - membership required,Yes,Visit shop contact to arrange membership or donate during donation days,Dont know,No,No,No,No,Reepham,Unit 5 & 6 Collers Way,Wood Dalling Road,,Reepham,NR10 4SW,Norfolk,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
MKPA,ReusefulUK,https://www.mkpa.co.uk/create/scrapstore/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste,,Yes - membership required,Yes,Visit store,Dont know,No,No,No,No,Milton Keynes,2 Burners Lane,Kiln Farm,,Milton Keynes,MK11 3HB,Buckinghamshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Gloucestershire Resource Centre,ReusefulUK,http://www.grcltd.org/,Enterprise and shop,Donate to MEP buy from MEP and MEP collects,Business waste,,Yes - membership required,Yes,Contact for more information,Dont know,No,No,No,No,Gloucester,City Works,Alfred Street,,Gloucester,GL1 4DF,Gloucestershire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Orinoco Scrapstore,ReusefulUK,https://orinocoscrapstore.wordpress.com/business-donors/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste and individual waste,,Yes - membership required,Yes,Contact for more information or visit store,Dont know,Some,No,No,No,Cowley,111-113 Pound Way, Templars Square Shopping Centre,,Cowley,OX4 3XH,Oxfordshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Children's Scrap Project, ReusefulUK,http://childrensscrap.co.uk/,Enterprise shop and collection service, Donate to MEP and MEP donates,Business waste,,No,No,Contact to arrange collection,NA,Dont know,No,No,No,London,137 Homerton High Street, Hackney,,London,E9 6AS,London,England,Pink,,,,,,,,,,,,,,,,,,,,,,,,
The Pyramid Resource Centre,ReusefulUK,https://www.thurrockplaynetwork.co.uk/, Enterprise shop and online listings,Donate to MEP and buy from MEP,Arts and crafts,, No but can buy a membership for benefits,No,Fill in online form to donate Register online for membership Buy online or Visit store, Dont know,Yes,No,Yes,No,Essex,Heath Road, Chadwell-St-Mary,Grays,Essex,RM16 4XH,Essex,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Squirrels Scrapstores,ReusefulUK,https://squirrelscommunityscrapscheme.chessck.co.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Arts and crafts,,No but can buy a membership for discount,Yes, Contact for more information Register online for membership or Visit shop,Dont know,No,No,No,No,London,234 Ridge Road,Sutton,,London,SM3 9LY,London,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Swindon Scrapstore,ReusefulUK,https://www.scrapstore.co.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste,,No,No,Contact to donate or visit store to buy,Dont know,No,No,No,No,Swindon,Unit 7,Bramble Close,,Swindon,SN2 8DW,Wiltshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Children's Scrapstore,ReusefulUK,https://www.childrensscrapstore.co.uk/,Enterprise shop and online listings,Donate to MEP and buy from MEP,Business waste,,No but can buy a membership for discount,No,Contact to donate or register online for membership,Dont know,Some,No,Some,No,Bristol,21 Sevier Street,St Werburghs,,Bristol,BS2 9LB,Bristol,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Community Scrapstore North Somerset,ReusefulUK,https://communityscrapstore.org.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste,,Yes - membership required,Yes, Contact to donate or register online for membership,Dont know,No,No,No,No,Somerset,66 Gazelle Road,Weston-super-Mare,,Somerset,BS24 9ES,Somerset,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
The Hub,ReusefulUK,https://www.thehubyeovil.co.uk/scrapstore,Enterprise and shop,Donate to MEP and buy from MEP,Business waste and craft supplies,,No,Yes,Contact for more information,No,Some,No,No,No,Somerset,13 Buckland Road,Yeovil,,Somerset,BA21 5EA,Somerset,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Exeter Scrapstore,ReusefulUK,https://exeterscrapstore.co.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Arts and crafts,,No but can buy a membership for discount,Yes,Contact for more information Order online collect in store Visit store or Register online for membership,Dont know,No,No,No,No,Exeter,Belmont Park,Gordon Road,,Exeter,EX1 2DH,Devon,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Cornwall Scrapstore,ReusefulUK,https://cornwallscrapstore.co.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste,,Yes - membership required to buy, Yes,Contact for more information or register online for membership,Dont know,No,No,No,No,St Austell, Drinnick Number Eight,Goonamarris,St Austell,Cornwall,PL26 7QX,Cornwall,EnglandBlue,,,,,,,,,,,,,,,,,,,,,,,,
Dorset Scrapstore,ReusefulUK,https://www.dorsetscrapstore.org.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste and individual waste,,Yes - membership required to buy,Yes,Contact for more information or register online for membership,Dot know,Some,No,Some,Some,Poole,The Factory,14 Alder Hills,Poole,Dorset,BH12 4AS,Dorset,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Waterside Scrapstore,ReusefulUK,https://www.watersidescrapstore.co.uk/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste,,Yes - membership required to buy,Yes,Contact for more information or register online for membership,Dont know,Yes,No,No,No,Southamption,Sunnyfields Farm,Jacobs Gutter Lane,Totton,Southampton,SO40 9FX,Hampshire,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Southampton Scrap Store,ReusefulUK,https://southamptonscrapstore.org.uk/,Enterprise shop and collection service,Donate to MEP and buy from MEP,Business waste,,Yes - membership required to buy,Yes,Contact for more information or register online for membership,Dont know,No,No,No,No,Southampton,Unit 15, Belgrave Industrial Estate,Swaythling,Southampton,SO17 3EA,Hampshire,EnglandBlue,,,,,,,,,,,,,,,,,,,,,,,,
The Scrap Space,ReusefulUK,https://www.weareoverthemoon.org/thescrapspace,Enterprise and shop,Donate to MEP MEP donates and buy from MEP,Business waste and household waste,,Yes - membership required to buy,Yes,Contact before donating or register online for membership,Dont know,No,No,No,No,West Sussex,The Circular Space,Ham Road,Shoreham-by-sea,West Sussex,BN43 6PA,West Sussex,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Artytime scrapstore,ReusefulUK,https://www.artytime.co.uk/scrapstore/,Enterprise and shop,Donate to MEP and buy from MEP,Business waste,,Yes - membership required to buy,Yes,Contact for more information or register online for membership,Dont know,No,No,No,No,East Sussex,Jarvis Brook Recreational Ground,Crowborough Hill,Crowborough,East Sussex,TN6 2EG,East Sussex,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
The Rebuild Site,Story,https://www.rebuildsite.co.uk/about/,CIC,Online listing and shop,Construction materials wood and paints,,Dont know,Dont know,Buy in store, Dont know,Yes,Yes,Yes,Dont know,Carlisle,Kingmoor Park North,Unit A2 Dukes Drive,,Carlisle,CA6 4SH,Cumbria,England,Red,,,,,,,,,,,,,,,,,,,,,,,,